num_stacks,containers_per_stack,n_containers,seed,sarcrp_decision,cost_static,cost_full_reopt,cost_periodic,cost_event_triggered_no_stability,cost_mpc,cost_sarcrp
3,3,9,20,UPDATE,22.0,52.92184738945362,52.92184738945362,48.16840690897898,50.44075971236914,20.301819161757162
3,3,9,21,UPDATE,22.0,52.92184738945362,52.92184738945362,48.16840690897898,50.44075971236914,21.646333751928935
3,3,9,22,UPDATE,22.0,52.92184738945362,52.92184738945362,48.16840690897898,50.44075971236914,20.301819161757162
3,3,9,23,UPDATE,22.0,52.92184738945362,52.92184738945362,48.16840690897898,50.44075971236914,20.301819161757162
3,3,9,24,UPDATE,22.0,52.92184738945362,52.92184738945362,48.16840690897898,50.44075971236914,20.301819161757162
4,3,12,20,UPDATE,26.5,54.79598912724925,54.79598912724925,40.68919044749693,46.478048165324594,20.179757195290286
4,3,12,21,UPDATE,26.5,54.79598912724925,54.79598912724925,40.68919044749693,46.478048165324594,20.179757195290286
4,3,12,22,UPDATE,26.5,54.79598912724925,54.79598912724925,40.68919044749693,46.478048165324594,20.179757195290286
4,3,12,23,UPDATE,26.5,54.79598912724925,54.79598912724925,40.68919044749693,46.478048165324594,20.179757195290286
4,3,12,24,UPDATE,26.5,54.79598912724925,54.79598912724925,40.68919044749693,46.478048165324594,20.179757195290286
4,4,16,20,UPDATE,43.5,80.12824573947442,80.12824573947442,79.41496226934515,79.41496226934515,37.97002149062112
4,4,16,21,UPDATE,43.5,80.12824573947442,80.12824573947442,79.41496226934515,79.41496226934515,40.43975362369817
4,4,16,22,UPDATE,43.5,80.12824573947442,80.12824573947442,79.41496226934515,79.41496226934515,40.43975362369817
4,4,16,23,UPDATE,43.5,80.12824573947442,80.12824573947442,79.41496226934515,79.41496226934515,37.98126972950458
4,4,16,24,UPDATE,43.5,80.12824573947442,80.12824573947442,79.41496226934515,79.41496226934515,36.96341110737977
5,4,20,20,UPDATE,50.0,81.15978530060252,81.15978530060252,64.1763270877808,71.90902489491174,43.83323708152285
5,4,20,21,UPDATE,50.0,81.15978530060252,81.15978530060252,64.1763270877808,71.90902489491174,36.900388265584205
5,4,20,22,UPDATE,50.0,81.15978530060252,81.15978530060252,64.1763270877808,71.90902489491174,45.04330914307862
5,4,20,23,UPDATE,50.0,81.15978530060252,81.15978530060252,64.1763270877808,71.90902489491174,45.867266009204165
5,4,20,24,UPDATE,50.0,81.15978530060252,81.15978530060252,64.1763270877808,71.90902489491174,44.53064464281397
6,4,24,20,UPDATE,56.5,82.58285891335208,82.58285891335208,72.8150892877381,80.5022840907165,41.855976819590644
6,4,24,21,UPDATE,56.5,82.58285891335208,82.58285891335208,90.98294918839025,80.5022840907165,48.74332267222728
6,4,24,22,UPDATE,56.5,82.58285891335208,82.58285891335208,72.8150892877381,80.5022840907165,49.1879093199496
6,4,24,23,UPDATE,56.5,82.58285891335208,82.58285891335208,72.8150892877381,80.5022840907165,50.79209763686046
6,4,24,24,UPDATE,56.5,82.58285891335208,82.58285891335208,72.8150892877381,80.5022840907165,41.855976819590644
5,5,25,20,UPDATE,72.0,105.95801722067503,105.95801722067503,103.50851331718474,102.1734020955271,63.555383080949454
5,5,25,21,UPDATE,72.0,105.95801722067503,105.95801722067503,103.50851331718474,102.1734020955271,63.198591664450916
5,5,25,22,UPDATE,72.0,105.95801722067503,105.95801722067503,103.50851331718474,102.1734020955271,57.33687654351558
5,5,25,23,UPDATE,72.0,105.95801722067503,105.95801722067503,103.50851331718474,102.1734020955271,56.03563440764119
5,5,25,24,UPDATE,72.0,105.95801722067503,105.95801722067503,103.50851331718474,102.1734020955271,67.38252422622293
7,4,28,20,UPDATE,63.0,84.33719016757631,84.33719016757631,80.61805135664355,88.25469766869514,57.483831474493805
7,4,28,21,UPDATE,63.0,84.33719016757631,84.33719016757631,80.61805135664355,88.25469766869514,54.489047696541064
7,4,28,22,UPDATE,63.0,84.33719016757631,84.33719016757631,80.61805135664355,88.25469766869514,57.21149916805512
7,4,28,23,UPDATE,63.0,84.33719016757631,84.33719016757631,80.61805135664355,88.25469766869514,46.824680602551794
7,4,28,24,UPDATE,63.0,84.33719016757631,84.33719016757631,80.61805135664355,88.25469766869514,59.25702135681879
6,5,30,20,UPDATE,80.5,108.1814191138204,108.1814191138204,107.24744556130139,107.24744556130139,67.54689419119967
6,5,30,21,UPDATE,80.5,108.1814191138204,108.1814191138204,107.24744556130139,107.24744556130139,70.78202137101924
6,5,30,22,UPDATE,80.5,108.1814191138204,108.1814191138204,107.24744556130139,107.24744556130139,58.788986693168134
6,5,30,23,UPDATE,80.5,108.1814191138204,108.1814191138204,107.24744556130139,107.24744556130139,58.788986693168134
6,5,30,24,UPDATE,80.5,108.1814191138204,108.1814191138204,107.24744556130139,107.24744556130139,70.21557313353892
8,4,32,20,UPDATE,69.5,86.36838475763822,86.36838475763822,87.73522245918971,95.34400891440055,61.0713709061291
8,4,32,21,UPDATE,69.5,86.36838475763822,86.36838475763822,87.73522245918971,95.34400891440055,51.80262653115127
8,4,32,22,UPDATE,69.5,86.36838475763822,86.36838475763822,87.73522245918971,95.34400891440055,68.67170841571827
8,4,32,23,UPDATE,69.5,86.36838475763822,86.36838475763822,87.73522245918971,95.34400891440055,59.012210314139594
8,4,32,24,UPDATE,69.5,86.36838475763822,86.36838475763822,87.73522245918971,95.34400891440055,60.710022436094015
7,5,35,20,UPDATE,89.0,110.89247429600738,110.89247429600738,110.11011624292101,110.11011624292101,77.74496823705623
7,5,35,21,UPDATE,89.0,110.89247429600738,110.89247429600738,110.11011624292101,110.11011624292101,78.62624023721918
7,5,35,22,UPDATE,89.0,110.89247429600738,110.89247429600738,110.11011624292101,110.11011624292101,66.94936367607025
7,5,35,23,UPDATE,89.0,110.89247429600738,110.89247429600738,110.11011624292101,110.11011624292101,75.61844657555372
7,5,35,24,UPDATE,89.0,110.89247429600738,110.89247429600738,110.11011624292101,110.11011624292101,73.71590821884003
10,5,50,20,UPDATE,116.0,117.67861930974118,117.67861930974118,141.36202540168253,141.36202540168253,93.23265265870042
10,5,50,21,UPDATE,116.0,117.67861930974118,117.67861930974118,141.36202540168253,141.36202540168253,94.45239637571356
10,5,50,22,UPDATE,116.0,117.67861930974118,117.67861930974118,141.8702804769589,141.36202540168253,97.3359699046815
10,5,50,23,UPDATE,116.0,117.67861930974118,117.67861930974118,141.36202540168253,141.36202540168253,92.44652857503819
10,5,50,24,UPDATE,116.0,117.67861930974118,117.67861930974118,141.36202540168253,141.36202540168253,94.971990390054
11,5,55,20,UPDATE,124.5,111.21960667439929,111.21960667439929,149.5071280608844,149.5071280608844,95.47218023597927
11,5,55,21,UPDATE,124.5,111.21960667439929,111.21960667439929,149.5071280608844,149.5071280608844,94.94751533934853
11,5,55,22,UPDATE,124.5,111.21960667439929,111.21960667439929,149.5071280608844,149.5071280608844,103.1718004676066
11,5,55,23,UPDATE,124.5,111.21960667439929,111.21960667439929,149.5071280608844,149.5071280608844,101.56901578573292
11,5,55,24,UPDATE,124.5,111.21960667439929,111.21960667439929,149.5071280608844,149.5071280608844,95.47706073450149
12,5,60,20,UPDATE,133.0,103.49600943374786,103.49600943374786,152.0841369676425,152.0841369676425,110.91521382383053
12,5,60,21,UPDATE,133.0,103.49600943374786,103.49600943374786,152.0841369676425,152.0841369676425,111.75247031960475
12,5,60,22,UPDATE,133.0,103.49600943374786,103.49600943374786,152.0841369676425,152.0841369676425,102.83011816034679
12,5,60,23,UPDATE,133.0,103.49600943374786,103.49600943374786,152.0841369676425,152.0841369676425,111.21265369156592
12,5,60,24,UPDATE,133.0,103.49600943374786,103.49600943374786,152.0841369676425,152.0841369676425,117.64960644663833
10,7,70,20,KEEP,189.0,181.8961844904677,181.8961844904677,189.0,203.6916166067983,189.0
10,7,70,21,KEEP,189.0,181.8961844904677,181.8961844904677,189.0,203.6916166067983,189.0
10,7,70,22,KEEP,189.0,181.8961844904677,181.8961844904677,189.0,203.6916166067983,189.0
10,7,70,23,KEEP,189.0,181.8961844904677,181.8961844904677,189.0,203.6916166067983,189.0
10,7,70,24,KEEP,189.0,181.8961844904677,181.8961844904677,189.0,203.6916166067983,189.0
12,6,72,20,UPDATE,172.0,142.95172350874725,142.95172350874725,182.5655440395964,182.5655440395964,144.75156318701215
12,6,72,21,UPDATE,172.0,142.95172350874725,142.95172350874725,182.5655440395964,182.5655440395964,147.44453402669797
12,6,72,22,UPDATE,172.0,142.95172350874725,142.95172350874725,185.34606956571605,182.5655440395964,130.41346714307022
12,6,72,23,UPDATE,172.0,142.95172350874725,142.95172350874725,182.5655440395964,182.5655440395964,142.92602935008446
12,6,72,24,UPDATE,172.0,142.95172350874725,142.95172350874725,182.5655440395964,182.5655440395964,142.65776187470252
14,6,84,20,KEEP,193.0,195.4038225659253,195.4038225659253,193.0,195.34879181899922,193.0
14,6,84,21,KEEP,193.0,195.4038225659253,195.4038225659253,193.0,195.34879181899922,193.0
14,6,84,22,KEEP,193.0,195.4038225659253,195.4038225659253,193.0,195.34879181899922,193.0
14,6,84,23,KEEP,193.0,195.4038225659253,195.4038225659253,193.0,195.34879181899922,193.0
14,6,84,24,KEEP,193.0,195.4038225659253,195.4038225659253,193.0,195.34879181899922,193.0
