num_stacks,containers_per_stack,normalize_delay,n_containers,plan_length,j_old,g_max_theory,mean_gain_observed,max_gain_observed,tau_rel,tau_abs,tau_effective,predicted_update_possible,n_update,n_seeds,observed_any_update,prediction_correct,margin_form,delay_form
3,3,True,9,21,12.454545454545455,0.45454545454545453,0.0,0.0,0.12454545454545456,,0.12454545454545456,True,0,5,False,False,margin=relative,delay=normalized
4,3,True,12,26,14.462962962962964,0.46296296296296297,0.0,0.0,0.14462962962962964,,0.14462962962962964,True,0,5,False,False,margin=relative,delay=normalized
4,4,True,16,40,24.475609756097562,0.47560975609756095,0.0,0.0,0.24475609756097563,,0.24475609756097563,True,0,5,False,False,margin=relative,delay=normalized
5,4,True,20,47,27.479166666666668,0.4791666666666667,0.0,0.0,0.2747916666666667,,0.2747916666666667,True,0,5,False,False,margin=relative,delay=normalized
6,4,True,24,54,30.48181818181818,0.4818181818181818,0.0,0.0,0.3048181818181818,,0.3048181818181818,True,0,5,False,False,margin=relative,delay=normalized
5,5,True,25,65,40.484848484848484,0.48484848484848486,0.0,0.0,0.40484848484848485,,0.40484848484848485,True,0,5,False,False,margin=relative,delay=normalized
7,4,True,28,61,33.483870967741936,0.4838709677419355,0.0,0.0,0.33483870967741935,,0.33483870967741935,True,0,5,False,False,margin=relative,delay=normalized
6,5,True,30,74,44.486666666666665,0.4866666666666667,0.001734027552586781,0.001734027552586781,0.44486666666666663,,0.44486666666666663,True,0,5,False,False,margin=relative,delay=normalized
8,4,True,32,68,36.48550724637681,0.4855072463768116,0.0,0.0,0.36485507246376814,,0.36485507246376814,True,0,5,False,False,margin=relative,delay=normalized
7,5,True,35,83,48.48809523809524,0.4880952380952381,0.008416947884164472,0.008416947884164472,0.4848809523809524,,0.4848809523809524,True,0,5,False,False,margin=relative,delay=normalized
10,5,True,50,111,61.49107142857143,0.49107142857142855,0.5142769799660272,0.5142769799660272,0.6149107142857143,,0.6149107142857143,False,0,5,False,True,margin=relative,delay=normalized
11,5,True,55,120,65.49173553719008,0.49173553719008267,0.11481037448776306,0.2766687470824678,0.6549173553719009,,0.6549173553719009,False,0,5,False,True,margin=relative,delay=normalized
12,5,True,60,129,69.49230769230769,0.49230769230769234,0.0,0.0,0.6949230769230769,,0.6949230769230769,False,0,5,False,True,margin=relative,delay=normalized
10,7,True,70,173,103.49425287356321,0.4942528735632184,0.0,0.0,1.0349425287356322,,1.0349425287356322,False,0,5,False,True,margin=relative,delay=normalized
12,6,True,72,163,91.4939024390244,0.49390243902439024,0.0,0.0,0.914939024390244,,0.914939024390244,False,0,5,False,True,margin=relative,delay=normalized
14,6,True,84,185,101.49462365591398,0.4946236559139785,0.0,0.0,1.01494623655914,,1.01494623655914,False,0,5,False,True,margin=relative,delay=normalized
