uncertainty_level,freeze_size,lam,method,seed,total_cost_mean,operational_cost_mean,changed_actions_total,runtime_mean_sec,fallback_rate
low,0,0.0,periodic,35,9.434753863318388,6.509259259259259,13,1.0150588221020169e-05,0.8888888888888888
low,0,0.0,periodic,36,11.495367787584419,6.7369281045751634,12,1.51023268699646e-05,0.8333333333333334
low,0,0.0,periodic,37,11.154999953308037,5.1106060606060595,29,1.5669925646348432e-05,0.8181818181818182
low,0,0.0,periodic,38,8.415743909066375,6.049479166666666,12,1.1994969099760056e-05,0.875
low,0,0.0,periodic,39,10.983660797229826,7.666666666666667,12,1.696869730949402e-05,0.8333333333333334
low,0,0.0,event_triggered_no_stability,20,7.055555555555556,7.055555555555556,0,7.050856947898865e-05,1.0
low,0,0.0,event_triggered_no_stability,21,7.041666666666666,7.041666666666666,0,5.906587466597557e-05,1.0
low,0,0.0,event_triggered_no_stability,22,7.033333333333334,7.033333333333334,0,5.986504256725311e-05,1.0
low,0,0.0,event_triggered_no_stability,23,7.092592592592592,7.092592592592592,0,6.318630443678962e-05,1.0
low,0,0.0,event_triggered_no_stability,24,7.081018518518519,7.081018518518519,0,0.0569010516628623,1.0
low,0,0.0,event_triggered_no_stability,25,7.010416666666667,7.010416666666667,0,6.324658170342445e-05,1.0
low,0,0.0,event_triggered_no_stability,26,7.080246913580247,7.080246913580247,0,5.842455559306675e-05,1.0
low,0,0.0,event_triggered_no_stability,27,7.0092592592592595,7.0092592592592595,0,5.7798706822925145e-05,1.0
low,0,0.0,event_triggered_no_stability,28,7.017857142857143,7.017857142857143,0,6.240153951304299e-05,1.0
low,0,0.0,event_triggered_no_stability,29,7.033333333333334,7.033333333333334,0,5.838274955749512e-05,1.0
low,0,0.0,event_triggered_no_stability,30,7.0,7.0,0,5.779555067420006e-05,1.0
low,0,0.0,event_triggered_no_stability,31,7.0166666666666675,7.0166666666666675,0,0.06149582788348198,1.0
low,0,0.0,event_triggered_no_stability,32,7.128787878787879,7.128787878787879,0,0.055775018239563164,1.0
low,0,0.0,event_triggered_no_stability,33,7.0,7.0,0,6.65765255689621e-05,1.0
low,0,0.0,event_triggered_no_stability,34,7.011904761904761,7.011904761904761,0,5.838381392615182e-05,1.0
