instance,n_containers,seed,event_kind,sarcrp_decision,cost_static,cost_full_reopt,cost_periodic,cost_event_triggered_no_stability,cost_mpc,cost_sarcrp
Lee_R020306_020c,20,20,urgent_insertion,UPDATE,26.0,70.74016150604682,70.74016150604682,59.92433954747133,59.92433954747133,21.442421329153134
Lee_R020306_020c,20,21,urgent_insertion,UPDATE,26.0,70.74016150604682,70.74016150604682,59.92433954747133,59.92433954747133,22.1940358629333
Lee_R020306_020c,20,22,urgent_insertion,UPDATE,26.0,70.74016150604682,70.74016150604682,59.92433954747133,59.92433954747133,25.084695240222644
Lee_R020306_020c,20,23,urgent_insertion,UPDATE,26.0,70.74016150604682,70.74016150604682,59.92433954747133,59.92433954747133,22.1940358629333
Lee_R020306_020c,20,24,urgent_insertion,UPDATE,26.0,70.74016150604682,70.74016150604682,59.92433954747133,59.92433954747133,25.084695240222644
Lee_R011606_070c,70,20,urgent_insertion,KEEP,112.5,149.28780778618474,149.28780778618474,112.5,142.45981682531192,112.5
Lee_R011606_070c,70,21,urgent_insertion,KEEP,112.5,149.28780778618474,149.28780778618474,112.5,142.45981682531192,112.5
Lee_R011606_070c,70,22,urgent_insertion,KEEP,112.5,149.28780778618474,149.28780778618474,112.5,142.45981682531192,112.5
Lee_R011606_070c,70,23,urgent_insertion,KEEP,112.5,149.28780778618474,149.28780778618474,112.5,142.45981682531192,112.5
Lee_R011606_070c,70,24,urgent_insertion,KEEP,112.5,149.28780778618474,149.28780778618474,112.5,142.45981682531192,112.5
Lee_R020306_020c,20,20,order_swap,KEEP,11.0,65.64080862338487,65.64080862338487,41.42905088119052,58.42433954747133,11.0
Lee_R020306_020c,20,21,order_swap,KEEP,11.0,65.64080862338487,65.64080862338487,35.644650294490035,58.42433954747133,11.0
Lee_R020306_020c,20,22,order_swap,KEEP,11.0,65.64080862338487,65.64080862338487,27.333216145746718,58.42433954747133,11.0
Lee_R020306_020c,20,23,order_swap,KEEP,11.0,65.64080862338487,65.64080862338487,22.552032185562208,58.42433954747133,11.0
Lee_R020306_020c,20,24,order_swap,KEEP,11.0,65.64080862338487,65.64080862338487,35.644650294490035,58.42433954747133,11.0
Lee_R011606_070c,70,20,order_swap,KEEP,52.0,119.45569322658525,119.45569322658525,66.51593066405087,140.45981682531192,52.0
Lee_R011606_070c,70,21,order_swap,KEEP,52.0,119.45569322658525,119.45569322658525,66.51593066405087,140.45981682531192,52.0
Lee_R011606_070c,70,22,order_swap,KEEP,52.0,119.45569322658525,119.45569322658525,66.51593066405087,140.45981682531192,52.0
Lee_R011606_070c,70,23,order_swap,KEEP,52.0,119.45569322658525,119.45569322658525,110.8515871568469,140.45981682531192,52.0
Lee_R011606_070c,70,24,order_swap,KEEP,52.0,119.45569322658525,119.45569322658525,115.31962601807605,140.45981682531192,52.0
